title,genre,director,country,year,Rate IMDb
Божественный мусор,документальный,Стив Йеджер,США,1998,7.7
Божественные,Драма    Криминал,Уда Беньямина,Франция   Катар,2016,7.4
Бойс,документальный фильм,Andres Veiel [d] [2],Германия,14 февраля   2017  и  18 мая   2017 [1],6.8
Бойня номер пять,драма   военный фильм   фантастика,Джордж Рой Хилл,США,1972,6.8
Болота,Мелодрама драма,Ги Эдуэн,Канада,2011,6.8
Болеро,мелодрама,Джон Дерек,США,1984,3.0
Болельщики,комедия,Нери Паренти,,1999,5.0
Болек и Лёлек,комедия,Михал Вашиньский,Польша,1936,6.6
Болезнь любви,драма,Жак Дерэ,Франция,1987,5.6
Болезнь Захса,"комедия, драма",Мишель Девиль,Франция,1999,7.3
Большая драка,боевик комедия,Роберт Клауз,США   Гонконг,1980,5.7
Большая дорога,комедия,Юрий Озеров,"СССР ,    Чехословакия",1962,7.0
Большая гонка. Лянча против Ауди,исторический фильм,Стефано Мордини [d],Италия   Великобритания,2024,6.1
Большая голубая дорога,драма,Джилло Понтекорво,Италия   Франция   Германия   Югославия,1957,6.9
Большая война,комедия военная драма,Марио Моничелли,Италия,1959,8.1
Большая вода,драма,Иво Трайков,Северная Македония,2004,7.0
Большая боль,детектив триллер,Бэрри Пик,Австралия,1985,5.2
Большая белая обуза,драма криминал комедия,Марк Майлод,США,2005,6.3
Большая белая надежда,драма,Мартин Ритт,США,1970,6.9
Большая белая башня,социальная драма,Сацуо Ямамото,Япония,1966,7.4
Большая афера,комедийный фильм [1] [2],Дон МакКеллар [d] [1] [3],Канада [3]   США,2013,7.0
Большая Америка,"документальный ,  комедия",Майкл Мур,США   Великобритания,1997,7.1
Большая автокража,"Комедия ,  криминальный",Рон Ховард,США,1977,5.4
Больница,сатира комедийная драма чёрная комедия детектив,Артур Хиллер,США,1971,7.1
Больная любовь,Мелодрама,Тудор Джурджу,Румыния,2006,6.6
Больвизер,драма,Райнер Вернер Фассбиндер,ФРГ,1977,7.0
Боль чужих сердец,драматический фильм [1],Ферзан Озпетек,Италия,2005,6.3
Боль и слава,драма,Педро Альмодовар,Испания,2019,7.5
Боль,историко - биографическая   военная   драма,Эмманюэль Финкель,Франция,2017,6.3
Боль,триллер / драма,Барбара Степански,США,2009,5.1
Боль,триллер,Бигас Луна,Испания,1987,6.7
Яд,фильм ужасов,Джим Гиллеспи,США,2005,4.6
Болотные солдаты,социальная  драма,Александр Мачерет,СССР,1938,6.0
Большая игра,драма,Джек Рэймонд,Великобритания,1930,6.8
Большая земля,Киноповесть,Сергей Герасимов,СССР,1944,6.2
Большая система,драма,Анджей Пётровски,Польша,1976,6.2
Большая семья,драматический фильм,Иосиф Хейфиц,СССР,1954,7.2
Большая сделка,комедийная драма,Джон Суонбек,США,1999,6.5
Большая свадьба,комедия  /  мелодрама,Джастин Закэм,США,2013,5.6
Большая руда,Драма,Василий Ордынский,СССР,1964,7.1
Большие каникулы,комедия,Жан Жиро,Франция     Италия,1967,6.5
Большие и маленькие,Киноповесть,Мария Фёдорова,СССР,1963,6.6
Большое разочарование,драма,Лоуренс Кэздан,США,1983,7.1
Большое путешествие,комедия приключенческий фильм,Келли Мекин,США   Канада,1995,5.6
Большое приключение Пи-Ви,приключения   комедия положений,Тим Бёртон,США,1985,7.0
Большое приключение,приключения,Вячеслав Никифоров,СССР,1985,6.2
Большое похмелье,кинокомедия,Норман Красна,США,1950,5.9
Большое ограбление поезда,вестерн,Зигмунд Любин,США,1904,6.8
Большой год,Комедия,Дэвид Френкель [1],США,2011,6.2
Большой глоток,комедия,Джеймс Уильямсон,Великобритания,1901,6.9
Большой Стэн,комедия,Роб Шнайдер,США,2007,6.1
Большой страх,вестерн,Бадд Беттикер,США,1957,7.3
Большой солдат,исторический фильм боевик комедия,Дин Шэн,Китай   Гонконг,2010,6.9
Большой секс-скандал по-американски,комедия,Майкл Шульц,США,1989,4.6
Большой риск,приключения  /  комедия,Стюарт Рэффил,США   Мексика,1981,5.6
Большой рай,комедийная драма,Томас Безука [en],США,2000,7.3
Бонсуар,комедия,Жан-Пьер Моки,Франция,1994,5.9
Борьба без оружия,социальная драма,Сацуо Ямамото,Япония,1960,
Борцы с преступностью,комедийный боевик,Энцо Барбони,США   Италия,1977,7.1
Борцы за светлое царство III Интернационала,агитфильм,Борис Светлов,РСФСР,1919,
Борцы,политическая драма,Густав фон Вангенхайм,СССР,1936,5.5
Борсалино и компания,гангстерский фильм драма боевик,Жак Дере,Франция     Италия     ФРГ,1974,6.3
Борсалино,гангстерский фильм,Жак Дере,Франция       Италия,20 мая   1970 [1],6.8
Босиком по парку,комедия,Джин Сэкс,США,1967,7.0
Босиком по мостовой,драма  /  мелодрама  /  комедия,Тиль Швайгер,Германия,2005,7.1
Босиком по городу,драматический фильм  и  романтическая комедия,Эндрю Флеминг,США,2 февраля   2014,6.5
Борьба с искушениями,комедия   драма   музыкальный фильм,Джонатан Линн,США,2003,5.6
Борьба с моей семьёй,драма комедия биография спорт,Стивен Мерчант,США   Великобритания,2019,7.1
Борьба за существование,драма,Альфред Деэши,Австро-Венгрия,1918,6.1
Борьба за справедливость: История Нэнси Конн,криминальная драма,Брэдфорд Мэй,США,,6.0
Борьба за справедливость,драма,Джеймс Кич,США,,5.0
Борьба за свободу,вестерн,Дэвид Уорк Гриффит,США,1908,5.0
Борьба за огонь,"драма ,  приключения",Жан-Жак Анно,Канада   Франция,1981,7.3
Борьба в долине,социальная драма,Юсеф Шахин,Египет,1954,7.2
Борис Рыжий / Boris Ryzhy,документальное кино,Алёна ван дер Хорст,,2008,7.5
Борис Годунов,драма,Владимир Мирзоев,Россия,2011,6.1
Борис Годунов,музыкальный фильм,Борис Небиеридзе,СССР,1987,8.0
Борис Годунов,исторический фильм фильм-биография,Сергей Бондарчук,СССР   Чехословакия   Польша   ФРГ,1986,6.5
Борис Годунов,"фильм-опера ,  драма",Анджей Жулавский,Франция   Испания   Югославия,1989,7.2
Борис Годунов,музыкальная драма,Вера Строева,СССР,1954,7.7
Борис без Беатрис,драматический фильм,Дени Коте [2] [3],Канада [1] [3],2016 [1],6.1
Борзые,криминальный фильм комедия,Ким Мэннерс,США,1994,6.2
Бостонский душитель,драма триллер,Ричард Флейшер,США,1968,7.1
Бостонский Блэки и закон,Детективный фильм Комедия,Д. Росс Ледерман,США,1946,6.3
Брак короля Густава III,,Маркус Олссон [d] [1],Швеция,,7.2
Брак / Узы брака,притча драма,Клод Лелуш,Франция,1974,6.7
Брайтонская скала,"Драма, криминал",Джон Боултинг,UK,декабрь  1947 [1],7.3
Бразилия,"трагикомедия ,  сатира ,  антиутопия ,  дизельпанк",Терри Гиллиам,Великобритания,1985,7.9
Бравый солдат Швейк,Комедия,Карел Стеклы,Чехословакия,1957,7.4
Браво!,драма,Раду Жуде,Румыния   Болгария   Чехия   Франция,2015,7.6
Братки Ньютоны,комедийная драма,Ричард Линклейтер,США,1998,6.1
Братья Борис и Глеб,драма мелодрама,Евгений Бауэр,Российская империя,1915,
Братья Блюз 2000,"бадди-муви ,  музыкальный фильм ,  боевик  и  комедийный фильм",Джон Лэндис,США,1998,4.9
Братья блюз,"комедия ,  музыкальный фильм",Джон Лэндис,США,1980,7.9
Братья Блум,криминальная   комедия,Райан Джонсон,США,2008,6.7
Братья,"драма ,  спортивный фильм",Каран Мальхотра,Индия,2015,6.4
Братья,драма военный,Джим Шеридан,США,2009,7.1
Брейк-данс,"комедия ,  мюзикл",Джоэл Силберг,США,1984,5.8
Брачные игры земных обитателей,комедия   фантастика     Псевдодокументальный фильм,Джефф Абугов,США,1999,6.3
Бриллиантовые головы,драма  /  триллер,Ник Брумфилд,Великобритания,1989,4.8
Бриллиантовое руно,комедия,Эл Уэксмэн,Канада,1992,5.7
Бриллиантовая ловушка,детектив,Дон Тейлор,Великобритания   США,,5.1
Бриллиант Раджи,приключенческий,Сильвестр Хенциньский,,1971,5.5
Бризи,"романтический фильм [1] [2] […] ,  драматический фильм  и  романтическая комедия",Клинт Иствуд [1] [2] […],США,1973,7.0
Бродский не поэт,документальный фильм,Илья Белов,Россия,2015,7.7
Бриллиантовая рука,комедия,Леонид Гайдай,СССР,1969 [2],8.3
Бродвейская мелодия 1938 года,Музыкальный фильм,Рой Дель Рут,США,1937,6.7
"Бросок, или Всё началось в субботу",фантастика,Серик Райбаев,СССР,,6.0
Бросок,драма,Анвар Тураев,СССР,1981,6.0
Бросив смертельный взгляд,"фильм ужасов ,  чёрная комедия",Мартин Кэмпбелл,США,,6.4
Бронсон,криминальная   драма фильм-биография,Николас Виндинг Рефн,Великобритания,2008,7.0
Бронксская повесть,драма,Роберт де Ниро,США,1993,7.8
Брӱно,комедия,Ларри Чарльз,США     Великобритания,2009,5.9
Бруна Сурфистинья,драма,Маркус Балдини,Бразилия,2011,6.2
Бруклинские полицейские,"боевик ,  драма ,  криминальный фильм",Антуан Фукуа,США,2009,6.7
Бруклин,мелодрама,Джон Кроули,Ирландия   Канада   Великобритания,2015,7.5
Брук. Легенда,приключения   история,Даниэль Бенмайор,,2010,5.6
Брубэйкер,драма,Стюарт Розенберг,США,1980,7.1
Брошь,драма,Ю. Кротенко,СССР,1988,
Брошенный умирать,слэшер,Кристофер Харрисон,Канада,2007,4.1
Брошенная,Фильм нуар,Джозеф М. Ньюман,США,1949,6.7
Бронко Билли,"комедийная драма ,  романтическая комедия  и  драматический фильм",Клинт Иствуд [2] [3] […],США,1980  и  6 ноября   1980 [1],6.1
Брони: неожиданно взрослые поклонники My Little Pony,документальный фильм,Лоран Малаке [d],США,2012,5.7
Бронзовая птица,детский экранизация приключение,Николай Калинин,СССР,,7.4
Броненосец «Потёмкин»,драматическая   киноэпопея [1],Сергей Эйзенштейн,СССР,1925,7.9
Брокер,криминальный фильм драма триллер,Томас Майкл Доннелли,США,1986,5.7
Бродячий автобус,драма,Иосиф Хейфиц,СССР,1989,6.8
Бродячие ангелы,мелодрама,Элан Смити,США,1980,3.8
Бродячая принцесса,драма,Кинуё Танака,Япония,1960,6.6
Бродяги Севера,"детский фильм ,  приключенческий фильм  и  экранизация",Игорь Негреску,СССР,1983,5.6
Бродяги,драматический фильм,Вин Дизель,США,1997,5.5
Бродяги,триллер,Джон Мактирнан,США,1986,5.2
Бродяги,"драма ,  вестерн",Фред Циннеман,США   Великобритания   Австралия,1960,7.1
Бродяга Кэнсин: Последняя легенда,"боевые искусства,  боевик,  дзидайгэки",Кэйдзи Отомо,Япония,2014,7.5
Брут,"Драма ,  Исторический",Константин Фам,Россия   Украина   Белоруссия   Румыния   США   Израиль,2016,7.5
Бродяга Кэнсин,"Боевые искусства,  Боевики,  Драмы,  Исторические",Кэйдзи Отомо,США,2012,7.4
Будни уголовного розыска,Детектив,Суламифь Цыбульник,СССР,1973,5.0
Будни и праздники Серафимы Глюкиной,мелодрама,Ростислав Горяев,СССР,1988,7.1
Будка у дороги,драма / триллер,Саломе Брезинер,США,1995,5.4
Будка поцелуев,Мелодрама комедия,Винс Марселло,Великобритания     США,2018,5.9
Буйная ватага,"детский фильм ,  комедия",Александр Попов,СССР /   Азербайджанская ССР,1937,5.6
Буйдои Тёлона,боевик драма гангстерский боевые искусства,Чарли Нгуен,Вьетнам,2013,6.5
«Бузулукский бор»,документальный фильм,Сергей Сотников,Россия,2018,
Бум!,драма,Джозеф Лоузи,США,1968,5.5
Бум 2,"комедия ,  мелодрама ,  драма",Клод Пиното,Франция,1982,6.2
Бум,"боевик ,  фильм-ограбление ,  триллер ,  эротика",Кайзад Густад,Индия,2003,2.3
Бум,"комедия ,  мелодрама ,  драма",Клод Пиното,Франция,1980,6.7
Бум,комедия,Витторио Де Сика,Италия,1963,7.1
Бунт невесток,мелодрама,Мелис Абзалов,СССР,1985,8.4
Бунт на «Кейне»,военная  драма,Эдвард Дмитрык,США,1954,7.7
Бунт в тюремном блоке № 11,Фильм нуар Тюремная драма,Дон Сигел,США,1954,7.0
Буря столетия,фильм ужасов триллер драма,Крейг Баксли,США   Канада,,7.3
Буря в горах Хаконэ,фильм-драма,"Сацуо Ямамото ,  Киёси Кусуда",Япония,1952,6.0
Буря,фэнтезийная   комедийная драма,Джули Теймор,США,2010,5.3
Бывший каторжник,драма,Эдвин Стэнтон Портер,США,1904,5.7
Бывшая с того света,Комедия,Эдвард Холл,Великобритания,2020,3.1
Быстрый меч,приключенческий фильм,Хуан Фэн [en],Гонконг   Китайская Республика,1971,6.4
Быстрый курок,вестерн,Дэвид Листер,США,1994,2.7
Быстрый и мёртвый,вестерн,Сэм Рэйми [1],США,1995,6.5
Быстрый выход,боевик,Скотт Зиль,США,2008,5.2
Бэмби,документальный фильм  и  ЛГБТ-фильм [d],Себастьен Лифшиц,Франция,2013,7.2
Бэла,,Андрей Громов,Российская империя,1913,5.2
Бэйб: Четвероногий малыш,комедия  /  драма,Крис Нунен,Австралия   США,1995,6.9
Бэйб: Поросёнок в городе,семейный   комедийный,Джордж Миллер,Австралия   США,1998,5.8
Бэзил,драма  /  мелодрама,Радха Бхарадвадж,Великобритания,1998,5.9
Бьяри,драматический фильм,К. П. Сувиран [d] [1],Индия,2011,8.2
Бьянка,"притча ,  комедия",Нанни Моретти,Италия,1984,7.3
Бьютифул,драма,Алехандро Гонсалес Иньярриту,Мексика   Испания,2010,7.4
Быть человеком,драма   комедия   фэнтези,Билл Форсайт,"Великобритания ,   Япония",1994,5.3
Быть Чарли,драма,Роб Райнер,США,2015,6.2
Быть Флинном,драма,Пол Вайц ru en,США,2012,6.4
Быть Стэнли Кубриком,комедия  /  драма,Брайан У. Кук,Великобритания     Франция,2005,6.1
Быть Сальвадором Дали,биографический фильм,Мэри Хэррон,США,2022,5.9
Быть Рикардо,"биографический фильм ,  драматический фильм  и  романтический фильм",Аарон Соркин,США,10 декабря   2021,6.5
Быть лишним,криминально-психологическая драма,Алоиз Бренч,СССР,1976,6.9
Быть как все,документальное кино,Таназ Эшагиан,Канада   Иран   Великобритания   США,2008,7.4
Быть или не быть,комедия,Алан Джонсон,США,1983,6.8
Быть или не быть,антивоенная   комедия,Эрнст Любич,США,1942,8.1
Быть Джоном Малковичем,фэнтезийная комедия,Спайк Джонз,США,1999,7.7
Быть Астрид Линдгрен,семейный драма фильм-биография,Пернилла Фишер Кристенсен,Швеция   Дания,2018,7.1
Быстрый бегун,фэнтезийный фильм [1]  и  драматический фильм [2] [1],Захариас Кунук,Канада,2001,7.4
Весёлые времена в школе Риджмонт,комедия,Эми Хекерлинг,США,1982,7.1
Бэтмен,"комедия ,  семейный фильм ,  приключения ,  боевик ,  криминал ,  фантастика",Лесли Х. Мартинсон,США,1966  и  30 июля   1966 [3],6.5
Бэтмен,супергеройский фильм боевик,Ламберт Хиллиер,США,1943,6.1
В бегах,драма,Дэвид Лоури,США,2013,6.4
В бегах,криминальный фильм драма,Альфред Чён [en],Гонконг,1988,7.1
В баре только девушки,драма,Марита Джованни,США,1994,5.0
В Баку дуют ветры,"боевик ,  военный фильм ,  драма ,  приключенческий фильм",Мухтар Дадашев,"СССР 
 
   Азербайджанская ССР",1974,6.5
В Америке,драма,Джим Шеридан,Ирландия   Великобритания,2002,7.7
В буйной слепоте страстей,психологическая любовная драма [1],Чеслав Сабинский,Российская империя,1915,
В бреду,короткометражный фильм,Джулия Стайлз,США,2007,6.8
В долине насилия,драма вестерн,Тай Уэст,США,2016,6.1
В дождь и в солнце,"драма, мелодрама, социальная драма",Герберт Раппапорт,СССР,1960,6.5
В добрый час!,мелодрама,Виктор Эйсымонт,СССР,1956,7.6
В добрый путь,,Мераб Кокочашвили,СССР,1973,5.0
В дни Октября,"драма , историко-революционный фильм",Сергей Васильев,СССР,1958,4.4
В компании мужчин,"Драма ,  чёрная комедия",Нил Лабут,Канада   США,1997,7.1
В компании волков,фильм ужасов фэнтези,Нил Джордан,Великобритания,1984,6.6
В мире безмолвия,Документальный,Жак-Ив Кусто Луи Маль,"Италия ,  Франция",1956,7.0
В метре друг от друга,мелодрама,Джастин Бальдони,США,2019,7.2
В мёртвой петле,Фильм-биография,Николай Ильинский Суламифь Цыбульник,СССР,1962,5.5
В мгновение ока,документальный,Вернер Херцог,США,2013,7.4
В людях,драма фильм-биография,Марк Донской,СССР,1939,6.9
В объятиях лжи,психологический триллер,Нил Джордан,США   Ирландия,2018,6.0
В объективе — животные,научно-популярный фильм,,СССР,,
В ночь на новолуние,"экранизация, драма","Юсуп Даниялов ,  Дмитрий Коржихин",СССР,1977,
В открытом море,романтическая комедия,Марта Кулидж,США,1997,6.1
В осаде 2: Тёмная территория ,боевик,Джеф Мёрфи,США,1995,5.5
В опасном положении,комедия,Франсис Вебер,США,1992,5.3
В омуте Москвы,Драма,Николай Ларин,Россия,1914,
В поисках Бобби Фишера,драма,Стивен Заиллян,США,1993,7.4
В поисках блаженства,романтическая комедия,Джули Дэвис,США,2009,5.2
В поисках адресата,кинокомедия,Амасий Мартиросян     Юрий Ерзинкян,СССР,1955,3.8
В погоне за Эми,комедийная   мелодрама,Кевин Смит,США,1997,7.2
В погоне за чувствами,драматический фильм,Кагисо Ледига [d],ЮАР,9 марта   2018,5.7
В погоне за счастьем,драма,Габриеле Муччино,США,2006,8.0
В погоне за солнцем,драма приключенческий фильм комедия,Чарльз Т. Кэнгэнис,США,1996,5.4
В погоне за славой,драма,Рафаил Гольдин,СССР,1956,5.8
В погоне за оленем,Исторический,Грэм Холлоуэй,Великобритания,1994,5.2
В погоне за Бонни и Клайдом,криминальная драма биография,Джон Ли Хэнкок,США,2019,6.9
В погоне за Адамом,"драма ,  военный",Ежи Зажицкий,Польша,1970,5.5
В погоне за «Лисом»,комедия,Витторио де Сика,Великобритания     Италия,1966,6.4
В плену у сакуры,романтический фильм,Масаки Иноуэ,Япония   Россия,2019,6.5
В плену у моды,мелодрама,Мадхур Бхандаркар     (англ.)  ( рус.,Индия,2008,6.9
В плену песков,"детский фильм ,  драматический фильм  и  экранизация книги [d]",Микаэл Саломон [2],США,12 марта   1993  и  26 августа   1993 [1],6.5
В плену надежды,драма мелодрама,Уильям Николсон,Великобритания,"6 сентября   2019 ,  19 марта   2020 [1] ,  8 февраля   2019 [2]  и  29 июля   2021",6.7
В петле,комедия,Армандо Ианнуччи,Великобритания,2009,7.4
В первый раз,"мелодрама ,  комедия",Джон Кэздан,США,2012,6.8
В пасти океана,фильм ужасов,Мартин Уилсон,Австралия,2021,4.1
В пасти безумия,фантастика фильм ужасов,Джон Карпентер,США,1995,7.1
В парке,комедия,Чарли Чаплин,США,1915,5.6
В Париж!,драма,Сергей Крутин,Россия,2009,7.3
В памяти навсегда,Мелодрама,Эдвард Дмитрик,Великобритания   США,1947,7.1
В отрыв!,комедия  /  драма,Джастин Кэрриган,Великобритания   Ирландия,1999,7.1
В омуте лжи,драма триллер,Кэролин Миллер,США,2008,5.1
В поисках выхода,комедия,Хэл Эшби,США,1982,5.1
В поисках брата,драма  /  мелодрама,Халид Мохамед [d],Индия,2000,6.0
В ожидании чуда,комедия мелодрама,Евгений Бедарев,Россия,2007,5.9
В ожидании чуда,драма   семейный фильм,Слободан Косовалич,СССР,1975,6.1
В ожидании моря,трагикомедия,Бахтиёр Худойназаров,Германия   Россия   Таджикистан   Украина   Франция   Казахстан   Бельгия,2012,6.5
В поисках Эрика,драма   комедия,Кен Лоуч,Великобритания     Франция     Италия     Бельгия     Испания,2009,7.1
В поисках чудо-меча,приключенческий фильм,Джо Д’Амато,Италия,1990,2.7
В поисках Фиделя,документальный   фильм-интервью,Оливер Стоун,США  -  Франция,2004,6.7
В пути,драма,Мери Анджапаридзе,СССР,,6.2
В пути,драма комедия,Сэм Мендес,США,2009,7.0
В пустыне и джунглях,"приключенческий фильм ,  семейное кино,  экранизация ,  детский фильм",Владислав Слесицкий,Польша,1973,6.4
В прямом эфире,комедийная драма,Ниша Ганатра,США,2019,6.5
В прошлом году в Мариенбаде,драма Экспериментальное кино,Ален Рене,Франция     Италия,1961,7.7
Зона смертельной опасности,боевик,Стивен Сигал,США,1994,4.6
В случае убийства набирайте «М»,детектив,Альфред Хичкок,США,1954,8.2
В случае несчастья,драма мелодрама криминал,Клод Отан-Лара,Франция   Италия,1958,6.7
В твоих руках жизнь,военный фильм приключенческий фильм фильм-катастрофа,Николай Розанцев,СССР,1959,6.4
В твоих руках,драма,Аннетт Олесен [da],Дания,2004,6.7
В твоих мечтах,романтический фильм [1]  и  спортивный фильм [1],Петр Окропец [d] [1],Чехия [1]   Словакия [1]   Болгария [1],28 апреля   2016,4.8
В твоих глазах,мелодрама  /  фантастика,Брин Хилл,США,2014,6.9
В твоих венах,драма,Беата Горделер,Швеция   Норвегия,2009,6.8
В тылу врага,боевик триллер драма военный,Джон Мур,США,2001,6.4
В тылу врага,военный,Евгений Шнейдер,СССР,1941,5.7
В тупике,драма комедия боевик,Вонди Кёртис-Холл,США,1997,6.9
В чужой шкуре,"триллер ,  научная фантастика ,  боди-хоррор",Брэндон Кроненберг,Канада   Великобритания,2020,6.5
В чужие руки: Истории Киндертранспорта,документальный фильм,Марк Джонатан Харрис,США   Великобритания,2000,7.7
В четверг и больше никогда,драма,Анатолий Эфрос,СССР,1977,7.3
В честь пропавшего солдата,драма,Roeland Kerbosch,Нидерланды,1992,7.5
В чёрных песках,"военный ,  исторический ,  приключенческий ,  истерн",Искандер Хамраев,СССР,1972,5.8
Вавилон XX,драма,Иван Миколайчук,СССР,1979,7.6
Вавилон нашей эры,"фантастический   боевик ,  киберпанк ,  антиутопия",Матьё Кассовиц,Франция   Великобритания   США,2008,5.5
Вавилон,драма,Дэмьен Шазелл,США,2022,7.6
Валланцаска — ангелы зла,криминальная   драма  гангстерский фильм фильм-биография,Микеле Плачидо,Италия   Франция   Румыния,2010,6.8
"Вали отсюда, Джо","вестерн ,  комедия",Питер Тьюксбери,США,8 марта   1968,4.5
"Валерка, Рэмка +…",детский фильм,Валентин Козачков,СССР,,6.6
Валерий Чкалов,героическая киноповесть,Михаил Константинович Калатозов [1],СССР,1941,6.3
Валерий Харламов. Дополнительное время,драма   биографический    фильм о спорте,Юрий Стааль (Королев),Россия,2007,5.2
Вальс на Печоре,драма,Лана Гогоберидзе,Грузия,1992,6.8
Вальс на Мтацминде,комедия,Баадур Цуладзе,СССР,1975,6.3
Вальс на банановой кожуре,драматический фильм  и  комедийный фильм,"Петер Бачо , Тамаш Тольмар",Венгрия,1987,6.8
Вальс,драма,Сальваторе Майра,Италия,2007,7.0
Вальс,драма,Виктор Аброосимович Титов,,1969,
Вальс «Голубой Дунай»,драма детектив,Миклош Янчо Иштван Мартон,Венгрия,1992,6.5
Вальмон,драма  /  мелодрама,Милош Форман,США   Франция,1989,7.0
Вальдо,криминал     триллер     детектив,Тим Киркби,США   Великобритания,4 февраля   2022  и  24 февраля   2022,5.8
Вальгалла: Рагнарёк,"приключенческий фильм [16] ,  фэнтезийный фильм [1] ,  фильм-триллер [17]  и  семейный фильм [1]",Фенар Ахмад [d] [1],Дания [1] [16]   Норвегия [1] [16]   Швеция [1] [16]   Исландия [1] [16],"10 октября   2019 [1] ,  11 октября   2019 [2] [3] ,  21 ноября   2019 [4] [5] ,  28 ноября   2019 [6] [7] ,  30 января   2020 [8] ,  13 февраля   2020 [9] ,  18 марта   2020 [10] ,  16 апреля   2020 [11] ,  30 апреля   2020 [12] ,  17 июля   2020 [13] ,  20 июля   2020 [14]  и  13 августа   2020 [15]",5.2
Валленштейн,исторический фильм,Франц Петер Вирт,Австрия   ФРГ   Швейцария,1978,8.5
Валериан и город тысячи планет,фантастика боевик приключения,Люк Бессон,Франция [9],2017,6.4
Валентино,драма,Кен Рассел,Великобритания   США,1977,6.1
Валентинка,"мелодрама ,  драма",Дерек Сиенфрэнс,США,2010,7.3
Валентина Кропивницкая: В поисках потерянного рая,документальный фильм,Евгений Цымбал,"Германия 
   Франция 
 
   Россия",2015,8.2
Валентина,мелодрама,Глеб Панфилов,СССР,1981,7.1
Валентин Парнах: ,Документальный фильм,Михаил Басов,Россия,2011,
Валентин и Валентина,мелодрама,Георгий Натансон,СССР,1985,6.4
Валенса,фильм-биография,Анджей Вайда,Польша,2013,6.5
Вальхалла: Сага о викинге,боевик приключенческий фильм исторический фильм,Николас Виндинг Рефн,Великобритания   Дания,2009,6.0
Вакольда,драма,Лусия Пуэнсо,Аргентина   Франция   Норвегия   Испания,2013,6.7
Вакансия на жертву,фильм ужасов триллер,Нимрод Антал,США,2007,6.2
Вакансия,комедия,Маргарита Микаэлян,СССР,1981,6.1
Вадим,драма,Пётр Иванович Чардынин,Российская империя,1909,4.8
Ваджда,драма,Хаифа аль-Мансур,Саудовская Аравия,2012,7.5
Вагрич и чёрный квадрат,документальный фильм,Андрей Загданский,США   Украина,2014,9.0
Вампиры: Пробуждение Зла,ужасы,Марти Уайз,США,2005,3.6
Вампиры: День мёртвых,ужасы вестерн,Томми Ли Уоллес,США,2001,4.5
Вампиры,фильм ужасов,Джон Карпентер,США,1998,6.1
Вампиры,"ужасы ,  эротика",Хозе Рамон Ларраз,Великобритания,1974,6.1
Вампиры,фильм ужасов,Риккардо Фреда Марио Бава,Италия,1957,6.5
Варавва,драма исторический,Евгений Емелин,Россия,2018,6.1
Варавва,пеплум,Ричард Флейшер,США   Италия,1961,6.9
Варавва,драматический фильм  и  экранизация романа [d],Альф Шёберг,Швеция,1953,6.3
Васса,драма,Глеб Панфилов,СССР,1983,7.5
Васильевский остров,социальная  драма,Владимир Шевельков,Россия,2008,6.2
Василиса Прекрасная,киносказка,Александр Роу [1],СССР,1939  и  13 мая   1940,7.2
Василиса,исторический фильм   военный фильм   драма,Антон Сиверс,Россия,2013,4.6
Василий Суриков,исторический фильм,Анатолий Рыбаков,СССР,1959,7.3
Вверх по течению,комедия,Роберт Батлер,США,1984,5.5
Вверх по реке,комедия,Джон Форд,США,1930,5.9
"Вверх по лестнице, ведущей вниз",драма,Роберт Маллиган,США,1967,7.3
Ведьма,драма,Александр Абрамов,СССР,1958,7.5
Ведьма,фантастическая  драма,Александр Пантелеев Г. Богданов,Российская империя,1916,
Веб-камера,"ужасы ,  триллер , детектив",Дэниель Гольдхабер,США,2018,5.9
Вдребезги,кинокомедия,Роман Каримов,Россия,2011,5.7
Вдребезги,"детектив ,  триллер",Вольфганг Петерсен,США,1991  и  21 ноября   1991 [1],6.5
Везучий человек,драма  /  комедия,Игорь Шешуков,СССР,1987,5.9
Везучий случай!,комедия,Роман Самгин,Россия,2017,3.6
Везучая,Спортивная драма,Олег Шухер (Ремизов),СССР,1987,5.3
Великая сила,драма,Фридрих Эрмлер,СССР,1950,5.3
Великая подмена /,"музыкальная драма ,  хуанмэй",Янь Цзюнь,Гонконг,1965,8.0
Великая Отечественная,документальный сериал,"Роман Кармен ,  Игорь Гелейн ,  Игорь Григорьев ,  Лев Данилов ,  Василий Катанян ,  Леонид Кристи ,  Семирамида Пумпянская ,  Тенгиз Семёнов ,  Фирсова, Джемма Сергеевна ,  Фомина, Зоя Петровна , Нина Соловьёва,  Александра Рыбакова",СССР   США,1978,8.4
Великий Макгинти,комедия,Престон Стёрджес,США,1940,7.3
Великий король,драматический фильм [1] [2],Файт Харлан,нацистская Германия,1942,6.9
Великий Карузо,музыкальный фильм биография драма,Ричард Торп,США,1951,6.5
Великий инквизитор,фильм ужасов исторический фильм,Майкл Ривз,Великобритания,1968,6.7
Великий Зигфелд,"биографический фильм ,  музыкальный фильм  и  драматический фильм",Роберт З. Леонард,США,1936  и  16 октября   1936,6.6
Великий диктатор,"политическая сатира 
 трагикомедия",Чарли Чаплин,США,"15 октября   1940 [1] [2] ,  19 ноября   1945 [3] ,  26 августа   1958 [4]  и  22 октября   1960 [5]",8.4
Великий Гэтсби,драма мелодрама,Баз Лурман,США   Австралия,2013,7.2
