title,genre,director,country,year,Rate IMDb
Бронко Билли,"комедийная драма ,  романтическая комедия  и  драматический фильм",Клинт Иствуд [2] [3] […],США,1980  и  6 ноября   1980 [1],6.1
Бродяги,драматический фильм,Вин Дизель,США,1997,5.5
Бродячий автобус,драма,Иосиф Хейфиц,СССР,1989,6.8
Бродяги Севера,"детский фильм ,  приключенческий фильм  и  экранизация",Игорь Негреску,СССР,1983,5.6
Бродяги,триллер,Джон Мактирнан,США,1986,5.2
Бродяги,"драма ,  вестерн",Фред Циннеман,США   Великобритания   Австралия,1960,7.1
Бродячие ангелы,мелодрама,Элан Смити,США,1980,3.8
Бродячая принцесса,драма,Кинуё Танака,Япония,1960,6.6
Бродяга Генри Ли Лукас.,триллер,Майкл Фейфер,США,2009,4.0
Бродяга Кэнсин: Последняя легенда,"боевые искусства,  боевик,  дзидайгэки",Кэйдзи Отомо,Япония,2014,7.5
Бродяга и собака,немое кино,неизвестно,США,1896,6.0
Бродяга Кэнсин,"Боевые искусства,  Боевики,  Драмы,  Исторические",Кэйдзи Отомо,США,2012,7.4
Бронзовая птица,детский экранизация приключение,Николай Калинин,СССР,,7.4
Бродяга,Драма,Джек Фиск,США,1981,6.7
Бродяга Архимед,социальная драма   кинокомедия,Жиль Гранжье,Франция     Италия,1959,6.6
Бродяга,трагикомедия,Чарли Чаплин,США,1915,6.9
Бродвейская мелодия,"мелодрама ,  мюзикл",Гарри Бомонт,США,1929,5.6
Бродский не поэт,документальный фильм,Илья Белов,Россия,2015,7.7
Бродяга,процессуальная драма [d]  и  драматический фильм,Радж Капур [2],Индия,1951,7.8
Бродяга,триллер фильм ужасов,Крис Уолас,США   Франция,1992,5.8
Бродвейская мелодия 1938 года,Музыкальный фильм,Рой Дель Рут,США,1937,6.7
Бродвейская мелодия 1940-х,комедия мелодрама мюзикл,Норман Таурог,США,1940,7.3
Будь круче!,комедия,Ф. Гэри Грей,США,2005,5.6
"Будем ждать, возвращайся",драма,Николай Малецкий,СССР [1],1981 [3],5.6
Будущий фильм Энга Ли,,Энг Ли,,,
"Будь здоров, дорогой",комедия,Тамаз Гомелаури Вахтанг Кикабидзе,СССР,1981,7.2
"Будем, как солнце",драма,Валериан Демерт,Российская империя,1917,
Бэмби,документальный фильм  и  ЛГБТ-фильм [d],Себастьен Лифшиц,Франция,2013,7.2
Бумажный тигр,приключенческий фильм драма,Кен Эннакин,Великобритания,1975,5.9
Булат батыр,"исторический фильм ,  военный фильм ,  драма",Юрий Тарич,СССР,1927,5.2
Бэла,,Андрей Громов,Российская империя,1913,5.2
Бэзил,драма  /  мелодрама,Радха Бхарадвадж,Великобритания,1998,5.9
Буу!,фильм ужасов,Энтони Ферранте,США,2005,4.1
Быть человеком,драма   комедия   фэнтези,Билл Форсайт,"Великобритания ,   Япония",1994,5.3
Бьяри,драматический фильм,К. П. Сувиран [d] [1],Индия,2011,8.2
Бэйб: Четвероногий малыш,комедия  /  драма,Крис Нунен,Австралия   США,1995,6.9
Бьютифул,драма,Алехандро Гонсалес Иньярриту,Мексика   Испания,2010,7.4
Бьянка,"притча ,  комедия",Нанни Моретти,Италия,1984,7.3
Быть Флинном,драма,Пол Вайц ru en,США,2012,6.4
Бэйб: Поросёнок в городе,семейный   комедийный,Джордж Миллер,Австралия   США,1998,5.8
Быть лишним,криминально-психологическая драма,Алоиз Бренч,СССР,1976,6.9
Быть Чарли,драма,Роб Райнер,США,2015,6.2
Быть Стэнли Кубриком,комедия  /  драма,Брайан У. Кук,Великобритания     Франция,2005,6.1
Быть Сальвадором Дали,биографический фильм,Мэри Хэррон,США,2022,5.9
Быть Рикардо,"биографический фильм ,  драматический фильм  и  романтический фильм",Аарон Соркин,США,10 декабря   2021,6.5
Быть или не быть,комедия,Алан Джонсон,США,1983,6.8
Быть как все,документальное кино,Таназ Эшагиан,Канада   Иран   Великобритания   США,2008,7.4
Быстрый меч,приключенческий фильм,Хуан Фэн [en],Гонконг   Китайская Республика,1971,6.4
Быть Астрид Линдгрен,семейный драма фильм-биография,Пернилла Фишер Кристенсен,Швеция   Дания,2018,7.1
Быстрый выход,боевик,Скотт Зиль,США,2008,5.2
Быстрый курок,вестерн,Дэвид Листер,США,1994,2.7
Быть или не быть,антивоенная   комедия,Эрнст Любич,США,1942,8.1
Быть Джоном Малковичем,фэнтезийная комедия,Спайк Джонз,США,1999,7.7
Быстрые перемены,комедия,Ховард Франклин Билл Мюррей,США,1990,6.8
Быстрый бегун,фэнтезийный фильм [1]  и  драматический фильм [2] [1],Захариас Кунук,Канада,2001,7.4
Быстрый и мёртвый,вестерн,Сэм Рэйми [1],США,1995,6.5
"Быстрее, чем кролики",комедия,Дмитрий Дьяченко,Россия,2014,6.1
"Быстро, дёшево и неуправляемо",документальный,Эррол Моррис,США,1997,7.1
Весёлые времена в школе Риджмонт,комедия,Эми Хекерлинг,США,1982,7.1
"Быстрее, давай поженимся!",драма,Уильям Дитерле,США,1964,3.8
Быстрейшая гитара из всех живущих,"вестерн ,  музыкальный фильм",Майкл Д. Мур,США,1967,4.3
Быстро и без боли,драма   криминальный фильм   мелодрама,Фатих Акин,Германия,1998,7.2
Быстрее собственной тени,"драма ,  спортивный фильм",Павел Любимов,СССР,1980,6.3
Быстрее пули,боевик драма,Джордж Тиллман мл.,США,2010,6.4
Был настоящим трубачом,детский фильм драма,"Константин Бромберг  , Иосиф Гиндин",СССР,1973,6.5
Быстрее ветра,приключенческий фильм,Питер Даффелл,Великобритания,1990,6.4
Быстрее молнии,приключенческий фильм,Николас Гесснер,Швейцария     ФРГ     Австрия,1988,4.7
Была Война,драма,Олег В. Семенец,Россия,2015,
Была без радости любовь,драма,Александр Аркатов,Российская империя,1916,
Было у отца три сына,Мелодрама,Геннадий Иванов,СССР,1981,5.8
Был отец,драма,Ясудзиро Одзу,Япония,1942,7.6
В белом городе,драматический фильм,Ален Таннер,Швейцария   Португалия   Великобритания,1983,7.3
Бюро человечества,антиутопия фантастика триллер,Роб В. Кинг,Канада,2017,4.5
Бюро магических услуг,"фэнтезийный фильм ,  приключенческий фильм  и  комедийный фильм",Джеффри Уокер,Австралия,2023,4.7
Был месяц май,"военный фильм , драма",Марлен Хуциев,СССР,,7.5
В белом плену,драма исторический фильм экшн-фильм,Петтер Несс,Норвегия   Швеция,2012,7.1
В год господень,комедийный фильм [1]  и  драматический фильм,Луиджи Маньи [d] [2] [3],Италия,1969,7.3
В глубине,драма,Шери Элвуд,Канада     Германия,2000,5.9
В логове,исторический фильм,Б. Сумху,МНР,1972,8.0
В год тринадцати лун,драма,Райнер Вернер Фасбиндер,ФРГ,1978,7.4
В лунном свете,драма,Реза Миркарими,Иран,2001,6.9
В ловушке времени,фантастика,Ричард Доннер,США,2003,5.6
В ожидании вечности,"драма ,  мелодрама",Джеймс Кич,США,2010,5.9
В ожидании варваров,Драма,Сиро Герра,Италия       США,2019,5.9
В объятиях убийцы,драма  /  триллер,Роберт Коллинз,США,1992,4.9
В ожидании волн и частиц,документальный,Дмитрий Завильгельский [1],Россия,2015,
В погоне за «Лисом»,комедия,Витторио де Сика,Великобритания     Италия,1966,6.4
В открытом море,романтическая комедия,Марта Кулидж,США,1997,6.1
В объятиях лжи,психологический триллер,Нил Джордан,США   Ирландия,2018,6.0
В осаде 2: Тёмная территория ,боевик,Джеф Мёрфи,США,1995,5.5
В поисках блаженства,романтическая комедия,Джули Дэвис,США,2009,5.2
В погоне за Адамом,"драма ,  военный",Ежи Зажицкий,Польша,1970,5.5
В поисках Бобби Фишера,драма,Стивен Заиллян,США,1993,7.4
В осаде,"боевик ,  триллер",Эндрю Дэвис,США,1992,6.5
В погоне за счастьем,драма,Габриеле Муччино,США,2006,8.0
В поисках адресата,кинокомедия,Амасий Мартиросян     Юрий Ерзинкян,СССР,1955,3.8
В погоне за чувствами,драматический фильм,Кагисо Ледига [d],ЮАР,9 марта   2018,5.7
В погоне за оленем,Исторический,Грэм Холлоуэй,Великобритания,1994,5.2
В погоне за Эми,комедийная   мелодрама,Кевин Смит,США,1997,7.2
В погоне за Бонни и Клайдом,криминальная драма биография,Джон Ли Хэнкок,США,2019,6.9
В погоне за славой,драма,Рафаил Гольдин,СССР,1956,5.8
В петле,комедия,Армандо Ианнуччи,Великобритания,2009,7.4
В плену у сакуры,романтический фильм,Масаки Иноуэ,Япония   Россия,2019,6.5
В плену у моды,мелодрама,Мадхур Бхандаркар     (англ.)  ( рус.,Индия,2008,6.9
В плену надежды,драма мелодрама,Уильям Николсон,Великобритания,"6 сентября   2019 ,  19 марта   2020 [1] ,  8 февраля   2019 [2]  и  29 июля   2021",6.7
В плену песков,"детский фильм ,  драматический фильм  и  экранизация книги [d]",Микаэл Саломон [2],США,12 марта   1993  и  26 августа   1993 [1],6.5
В первый раз,"мелодрама ,  комедия",Джон Кэздан,США,2012,6.8
В Париж!,драма,Сергей Крутин,Россия,2009,7.3
В погоне за солнцем,драма приключенческий фильм комедия,Чарльз Т. Кэнгэнис,США,1996,5.4
В пасти океана,фильм ужасов,Мартин Уилсон,Австралия,2021,4.1
В отрыв!,комедия  /  драма,Джастин Кэрриган,Великобритания   Ирландия,1999,7.1
В опасном положении,комедия,Франсис Вебер,США,1992,5.3
В пасти безумия,фантастика фильм ужасов,Джон Карпентер,США,1995,7.1
В парке,комедия,Чарли Чаплин,США,1915,5.6
В памяти навсегда,Мелодрама,Эдвард Дмитрик,Великобритания   США,1947,7.1
В ожидании чуда,драма   семейный фильм,Слободан Косовалич,СССР,1975,6.1
В омуте лжи,драма триллер,Кэролин Миллер,США,2008,5.1
В ожидании чуда,комедия мелодрама,Евгений Бедарев,Россия,2007,5.9
В ожидании любви,"мелодрама ,  комедия","Лукаш Карвовски , 
 Г. Милованова 
 
 И. Теславский",Польша   США,2008,5.4
В ожидании моря,трагикомедия,Бахтиёр Худойназаров,Германия   Россия   Таджикистан   Украина   Франция   Казахстан   Бельгия,2012,6.5
В ожидании выдоха,Романтическая драма,Форест Уитакер,США,1995,6.0
В ожидании Годо,Абсурдистская трагикомедия,Майкл Линдсей-Хогг,Ирландия,2001,7.6
В ожидании Луны,драма фильм-биография,Джил Годмилов,Великобритания       Франция       США       ФРГ,1987,6.3
В одну-единственную жизнь,драма,Игорь Апасян,СССР,1986,5.3
В одной знакомой улице…,драма,Александр Козьменко,СССР,1988,4.6
В ожидании Ани,драма,Бен Куксон,Великобритания       Бельгия,2020,6.0
В одну сторону,"криминальная драма , психилогический  триллер",Рето Салимбени,Германия   Канада,2006,6.1
В одном маленьком городе,драматический фильм,Гига Лордкипанидзе,СССР,1985,8.1
В одно ухо влетело,комедия,Терри Кинни,США,2008,5.5
В одно прекрасное детство,комедия   музыкальный фильм детский фильм,Яков Сегель,СССР,1979,4.9
В омуте Москвы,Драма,Николай Ларин,Россия,1914,
В поисках Джеки,комедия      боевик,Фан Ганлян,Китай,2009,3.9
В один прекрасный день,"киноальманах ,  музыкальная комедия ,  фантастический фильм","Юлий Гусман ,  Рустам Ибрагимбеков",СССР /   Азербайджанская ССР,1976,5.4
Вавилон-5: Третье пространство,научная фантастика,Хесус Сальвадор Тревиньо,США,1998,6.8
В последний час,боевик военный драма приключения,Михаил Чиаурели,СССР,1929,5.5
В поисках Дебры Уингер,документальное кино   фильм-интервью,Розанна Аркетт,США,2002,6.4
В последний момент,боевик криминальный фильм драма триллер,Джон Бэдэм,США,1995,6.3
В полосе прибоя,"детектив , драма",Ольгерд Воронцов,СССР,1990,6.2
Вальс на Мтацминде,комедия,Баадур Цуладзе,СССР,1975,6.3
В порту,драма,Элиа Казан,США [2],1954,8.1
«Вавилон-5»: Река душ,научная фантастика,Джэнет Грик,США,1998,6.5
Вальс на Печоре,драма,Лана Гогоберидзе,Грузия,1992,6.8
Вальс на банановой кожуре,драматический фильм  и  комедийный фильм,"Петер Бачо , Тамаш Тольмар",Венгрия,1987,6.8
Вальс,драма,Виктор Аброосимович Титов,,1969,
Вальс,драма,Сальваторе Майра,Италия,2007,7.0
Вальс «Голубой Дунай»,драма детектив,Миклош Янчо Иштван Мартон,Венгрия,1992,6.5
В самое пекло,документальный,Вернер Херцог,США   Германия   Канада,2016,7.2
Вальмон,драма  /  мелодрама,Милош Форман,США   Франция,1989,7.0
Валленштейн,исторический фильм,Франц Петер Вирт,Австрия   ФРГ   Швейцария,1978,8.5
Вальдо,криминал     триллер     детектив,Тим Киркби,США   Великобритания,4 февраля   2022  и  24 февраля   2022,5.8
"Вали отсюда, Джо","вестерн ,  комедия",Питер Тьюксбери,США,8 марта   1968,4.5
Валланцаска — ангелы зла,криминальная   драма  гангстерский фильм фильм-биография,Микеле Плачидо,Италия   Франция   Румыния,2010,6.8
Вальгалла: Рагнарёк,"приключенческий фильм [16] ,  фэнтезийный фильм [1] ,  фильм-триллер [17]  и  семейный фильм [1]",Фенар Ахмад [d] [1],Дания [1] [16]   Норвегия [1] [16]   Швеция [1] [16]   Исландия [1] [16],"10 октября   2019 [1] ,  11 октября   2019 [2] [3] ,  21 ноября   2019 [4] [5] ,  28 ноября   2019 [6] [7] ,  30 января   2020 [8] ,  13 февраля   2020 [9] ,  18 марта   2020 [10] ,  16 апреля   2020 [11] ,  30 апреля   2020 [12] ,  17 июля   2020 [13] ,  20 июля   2020 [14]  и  13 августа   2020 [15]",5.2
Валериан и город тысячи планет,фантастика боевик приключения,Люк Бессон,Франция [9],2017,6.4
Валерий Харламов. Дополнительное время,драма   биографический    фильм о спорте,Юрий Стааль (Королев),Россия,2007,5.2
Валентино,драма,Кен Рассел,Великобритания   США,1977,6.1
Валентин Парнах: ,Документальный фильм,Михаил Басов,Россия,2011,
Валентинка,"мелодрама ,  драма",Дерек Сиенфрэнс,США,2010,7.3
Валерий Чкалов,героическая киноповесть,Михаил Константинович Калатозов [1],СССР,1941,6.3
Валентина Кропивницкая: В поисках потерянного рая,документальный фильм,Евгений Цымбал,"Германия 
   Франция 
 
   Россия",2015,8.2
Валентина,мелодрама,Глеб Панфилов,СССР,1981,7.1
Вальхалла: Сага о викинге,боевик приключенческий фильм исторический фильм,Николас Виндинг Рефн,Великобритания   Дания,2009,6.0
"Валерка, Рэмка +…",детский фильм,Валентин Козачков,СССР,,6.6
Валентин и Валентина,мелодрама,Георгий Натансон,СССР,1985,6.4
Валенса,фильм-биография,Анджей Вайда,Польша,2013,6.5
Ваджда,драма,Хаифа аль-Мансур,Саудовская Аравия,2012,7.5
Вакансия на жертву,фильм ужасов триллер,Нимрод Антал,США,2007,6.2
Вакансия,комедия,Маргарита Микаэлян,СССР,1981,6.1
Вакольда,драма,Лусия Пуэнсо,Аргентина   Франция   Норвегия   Испания,2013,6.7
Вадим,драма,Пётр Иванович Чардынин,Российская империя,1909,4.8
«Вавилон-5»: Призыв к оружию!,научная фантастика,Майкл Веяр,США,1999,7.1
Вампиры: День мёртвых,ужасы вестерн,Томми Ли Уоллес,США,2001,4.5
Ведьма,драма,Александр Абрамов,СССР,1958,7.5
Вампиры,"ужасы ,  эротика",Хозе Рамон Ларраз,Великобритания,1974,6.1
Вампиры,фильм ужасов,Джон Карпентер,США,1998,6.1
Вас вызывает Таймыр,комедия,Алексей Коренев,СССР,,6.8
Вас не догонят,драма,Леа Пул,Канада,2001,6.8
Вверх по течению,комедия,Роберт Батлер,США,1984,5.5
Вагрич и чёрный квадрат,документальный фильм,Андрей Загданский,США   Украина,2014,9.0
Ведьма,фантастическая  драма,Александр Пантелеев Г. Богданов,Российская империя,1916,
Великий Карузо,музыкальный фильм биография драма,Ричард Торп,США,1951,6.5
Великая ложь,драма,Эдмунд Гулдинг,США,1941,7.1
Великий Макгинти,комедия,Престон Стёрджес,США,1940,7.3
Великий герой-любовник,комедия,Джин Уайлдер,США,"18 декабря   1977 [1] ,  13 февраля   1978 [1] ,  15 февраля   1978 [1] ,  17 марта   1978 [1] ,  23 марта   1978 [1] ,  1 апреля   1978 [1] ,  3 апреля   1978 [1] ,  27 апреля   1978 [1] ,  2 июня   1978 [1] ,  5 октября   1978 [1] ,  22 марта   1979 [1] ,  3 июля   1979 [1]  и  15 августа   1979 [1]",5.7
Вальс с Баширом,анимация,Ари Фольман Йони Гудман (режиссёр анимации),Израиль   Германия   Франция,2008,8.0
Великий инквизитор,фильм ужасов исторический фильм,Майкл Ривз,Великобритания,1968,6.7
Великий Гэтсби,мелодрама,Джек Клэйтон,США,1974,6.4
Великий король,драматический фильм [1] [2],Файт Харлан,нацистская Германия,1942,6.9
Великий Гэтсби,драма,Роберт Марковиц,Великобритания     США,,5.7
Великий гражданин,драма,Фридрих Эрмлер,СССР,"1937, 1939",6.2
Великий Зигфелд,"биографический фильм ,  музыкальный фильм  и  драматический фильм",Роберт З. Леонард,США,1936  и  16 октября   1936,6.6
Великий Гэтсби,драматический фильм [1]  и  экранизация романа [d],Эллиотт Наджент [1],США,1950,6.5
Великий диктатор,"политическая сатира 
 трагикомедия",Чарли Чаплин,США,"15 октября   1940 [1] [2] ,  19 ноября   1945 [3] ,  26 августа   1958 [4]  и  22 октября   1960 [5]",8.4
Великий Гэтсби,драма мелодрама,Баз Лурман,США   Австралия,2013,7.2
Великий воин Албании Скандербег,исторический фильм,Сергей Юткевич,НСРА   СССР,1953,7.7
Великие голодранцы,драма,Лев Мирский,СССР,1973,6.0
Великий Бак Ховард,кинокомедия,Шон МакГинли,США,2008,6.4
Великая стена,боевик приключения фэнтези,Чжан Имоу,Китай   США,2016,5.9
Великий воин,боевик  /  мелодрама  /  фэнтези,С. С. Раджамаули     (англ.)  ( рус.,Индия,2009,7.7
Великая страсть (Разбитая жизнь; Коршун),драма,Александр Уральский  ( Владимир Гардин ?  Иосиф Сойфер ?),Российская империя,1916,
Великая сила,драма,Фридрих Эрмлер,СССР,1950,5.3
Великая подмена /,"музыкальная драма ,  хуанмэй",Янь Цзюнь,Гонконг,1965,8.0
Великая криминальная революция,документально - публицистический фильм,Станислав Говорухин,Россия,1994,5.1
Великая наложница / Ян Гуйфэй,историческая драма,Ли Ханьсян,Гонконг,1962,6.8
Великая Отечественная,документальный сериал,"Роман Кармен ,  Игорь Гелейн ,  Игорь Григорьев ,  Лев Данилов ,  Василий Катанян ,  Леонид Кристи ,  Семирамида Пумпянская ,  Тенгиз Семёнов ,  Фирсова, Джемма Сергеевна ,  Фомина, Зоя Петровна , Нина Соловьёва,  Александра Рыбакова",СССР   США,1978,8.4
Великая любовь,"военный фильм ,  романтический фильм [1]  и  драматический фильм",Рольф Хансен,Германия,1942,6.2
Великая опора,драма,Абиб Исмайлов,СССР,1962,7.7
Великая красота,сатирическая   трагикомедия,Паоло Соррентино,Италия   Франция,2013,7.7
Великан,драма  /  комедия,Питер Челсом,США,1998,7.2
Великая война,"художественно-документальный   сериал ,  докудрама",Анна Граждан,Россия,,8.5
Великая Афродита,комедия,Вуди Аллен,США,1995,7.0
Велик,мелодрама семейный,Мария Морозова,Россия,2008,7.0
Великая иллюзия,военная  драма,Жан Ренуар,Франция,1937,8.1
Великолепие в траве,"романтический фильм [2] [3] ,  драматический фильм [2]  и  история взросления",Элиа Казан,США,1961,7.7
Великий Могол,драма  /  мелодрама  /  военный фильм,К. Асиф     (англ.)  ( рус.,Индия,1960,8.1
Великолепный мясник,боевик комедия драма,Юнь Вопхин,Гонконг,1979,7.2
Весёлые истории про ворованные вещи,комедия,Дом Делуиз,США,1979,6.3
Весной,документальный фильм,Михаил Кауфман,СССР,1929,7.6
Венецианка,"эротика, экранизация",Мауро Болоньини,Италия,1986,4.9
Венера в мехах,Эротика Триллер,Хесус Франко,Италия   ФРГ,1969,5.6
Верный друг Санчо,детский фильм,Янис Стрейч,СССР,1974,6.5
Венера в мехах,комедия драма,Роман Полански,Франция   Польша,2013,7.1
Весёлые истории,комедия   семейный фильм,"Стасис Мотеюнас, Альгимантас Кундялис, Гитис Лукшас",СССР,1973,7.3
Верный Руслан (История караульной собаки),драма,Владимир Хмельницкий,Украина   Швеция,1992,7.0
"Весна, пан сержант!",комедия,Тадеуш Хмелевский,Польша,1974,6.2
Весна убийств,детективный фильм,Стивен Уильямс,Канада,2002,5.2
Вестерн,артхаус,Валеска Гризебах,Германия   Австрия   Болгария,2017,7.0
Весна проходит,лирическая киноповесть,Нодар Манагадзе,СССР,1983,7.0
"Весна, лето, осень, зима… и снова весна",притча,Ким Ки Дук,Республика Корея [1]   Германия [1],2003,8.0
Весна на Одере,Драма,Леон Сааков,СССР,1967,6.8
Весна в Сакене,драма,Николай Санишвили,СССР,1950,6.3
Весна в городке,мелодрама,Фэй Му,Китайская Республика,1948,7.3
Весна,романтический   боди-хоррор,"Джастин Бенсон ,  Аарон Мурхед",США,2015,6.7
«Весна»,комедия кинофантастика,Григорий Александров,СССР,1947,7.2
Весна в Москве,драма,Надежда Кошеверова     Иосиф Хейфиц,СССР,1953,6.4
Весна,драма,Арво Круусемент,СССР,1969,8.0
Весна на Заречной улице,мелодрама [d],Феликс Ефимович Миронер Марлен Хуциев [1],СССР,1956,7.4
Весенняя сказка,"Лирическая  кинокомедия ,  артхаус",Эрик Ромер,Франция,1990,7.1
Весенняя симфония,драма,Петер Шамони,ФРГ,1983,6.2
Весенняя сказка,"детский фильм ,  сказка",Юрий Цветков,СССР,1971,6.5
Весенняя путёвка,мелодрама,Варис Брасла,СССР,1978,7.0
"Весенняя Олимпиада, или Начальник хора",Киноповесть,Исаак Магитон     Юрий Чулюкин,СССР,1979,5.9
Весенний поток,драма,Владимир Юренев,СССР,1940,5.9
Весенний отрыв,комедия,Райан Шираки,США,2009,4.8
Весенняя буря,драма,Альфред Деэши,Австро-Венгрия,1918,
Весенний вальс,музыкальная   комедия,Генри Костер,США,1940,6.7
Весенний воздух,драма,Ладислав Хелге,Чехословакия,1961,6.0
Весенний призыв,"военный ,  драма",Павел Любимов,СССР,1976,6.1
Весенний дождь,киноновелла,"Кира Муратова ,   Александр Муратов",СССР,1958,6.6
Весенние каникулы,комедия,Шон Секстон Каннингем,США,1983,4.9
Весенние перевёртыши,,Григорий Аронов,СССР,1974,7.7
Весенние шелкопряды,драма,Чэн Бугао,Китайская республика,1933,6.4
Весенние надежды,трагикомедия,Дэвид Френкель,США,2012,6.3
Весенние хлопоты,комедия,Ян Фрид Максим Руф,СССР,1964,5.6
Весенние грозы,Киноповесть,Николай Фигуровский,СССР,1960,5.5
Весенние воды текут на восток,военная  драма,Цай Чушэн   Чжэн Цзюньли,Китайская Республика,1947,7.3
Весельчаки,трагикомедия,Феликс Михайлов,Россия,2009,6.1
Веселящий газ,комедия короткометражный немой,Чарльз Чаплин,США,1914,5.6
Вечер,драма   мелодрама,Лайош Кольтаи,США     Германия,2007,6.4
Весельчак,"комедия,  мелодрама , приключение",Рам Гопал Варма,Индия,1995,7.4
Весёлый скелет,"анимация ,  ужасы",Луи Люмьер,Франция,1898,6.5
Весёлый роман,комедия,Леван Хотивари,СССР,1972,7.8
Веселье в Акапулько,мюзикл,"Ричард Торп , 
 
 Майкл Д. Моор",США,1963,5.8
Веселый ужин мамочек,комедия,Алетеа Джонс [d],США,2017,5.3
Вестерплатте,"Историческая драма ,  Военный",Станислав Ружевич,ПНР,1967,7.0
Взломщики,детективный фильм триллер боевик,Анри Вернёй,Франция   Италия,1971,6.6
Взаперти,"драма ,  криминал ,  триллер ,  экшн",Джон Флинн,США,1989,6.4
"Вива, Мария!",комедийный   боевик,Луи Маль,Франция     Италия,1965,6.3
Взять живым или мёртвым,"боевик ,  триллер",Гари Шерман,США,1987,5.9
Взломщик,драма,Валерий Огородников,СССР,1987,6.0
"Вива, Сапата!",драма исторический,Элиа Казан,США,1952,7.3
Визит,фильм ужасов найденная плёнка,М. Найт Шьямалан,США,2015,6.3
Визит,Трагифарс драма,Бернхард Викки,США   Германия   Франция   Италия,1964,7.4
Виктория,"мелодрама, экранизация",Ольгерт Дункерс,СССР,1988,7.0
Вилби Великолепный,трагикомедия,Дэниэл Макайвор [en],Канада,2004,6.6
Виктория: История любви,"драма ,  мелодрама",Торун Лиан,Норвегия,2013,5.5
Виктория,драма криминальный фильм,Себастьян Шиппер,Германия,2015,7.6
Виктория и Абдул,драма,Стивен Фрирз,Великобритания   США,2017,6.8
Виктория,"мелодрама, экранизация",Дмитрий Долинин,СССР,1987,6.3
Вилла,драма,Робер Гедигян,Франция,2017,6.5
Виктор Астафьев. Весёлый солдат,документальный,Андрей Зайцев,Россия,2010,
Виктор и Виктория,музыкальная   комедия,Рейнгольд Шюнцель,Германия,1933,6.9
Виктор,триллер боевик,Филипп Мартинес     (англ.)  ( рус.,Россия   Франция,2014,3.8
Виктор/Виктория,"комедия ,  мелодрама ,  мюзикл",Блейк Эдвардс,США   Великобритания,1982  и  7 января   1983 [1],7.6
Викинги,фантастика   боевик   приключения,Ховард Маккейн,США     Германия     Канада,2008,6.2
Викинги,исторический боевик,Ричард Флейшер,США,"1958 ,  11 июня   1958 [1]  и  28 июня   1958 [1]",7.0
Викки,Фильм нуар,Гарри Хорнер,США,1953,6.5
Вий,Фантастика Ужасы,Владислав Старевич,Российская империя,1916,
Вики Кристина Барселона,мелодрама,Вуди Аллен,Испания   США,2008,7.1
Вий,фильм ужасов,Константин Ершов Георгий Кропачёв,СССР,1967,7.2
Визит семьи Дракулы,чёрная комедия,Моник Брет (Monique Breet),Нидерланды,2006,6.2
Вий,ужасы приключения,Олег Степченко,Россия   Германия   Украина   Чехия [6]   Великобритания,30 января   2014 [4] [5],5.2
Визуальная Библия: Евангелие от Матфея,фильм-биография семейный фильм драма,Регхардт ван ден Берг,ЮАР   Марокко   США,1993,7.9
Вий,Фантастика Ужасы,Василий Гончаров,Российская империя,1909,
Визит старой дамы,Трагифарс драма,Николаус Лейтнер,Германия   Австрия,2008,6.0
Викинг,исторический драма военный приключенческий,Андрей Кравчук,Россия,2016,4.6
Визит вежливости,кинороман,Юлий Райзман,СССР,1972,6.5
Визит к морю,документальный фильм  и  немое кино,Джордж Альберт Смит,Великобритания,1908,5.9
Визит оркестра,"комедия ,  драма",Эран Колирин,Израиль,2007,7.5
Визит к Минотавру,детектив,Эльдор Уразбаев,СССР,9 — 14 ноября 1987,7.4
Визит инспектора,драма,Эйслинг Уолш,Великобритания,2015,7.6
Визит дамы,трагифарс,Михаил Козаков,СССР,,7.4
Византия,драма фэнтези триллер,Нил Джордан,Великобритания   США   Ирландия,2012,6.5
Видимость гнева,драма комедия   Мелодрама,Майк Байндер,США   Германия   Великобритания,2005,6.8
Византийская принцесса,приключенческий фильм,Висенте Аранда,Испания   Италия   Великобритания,2006,4.0
Вижу цель,драма,Сурен Шахбазян,СССР,1979,5.8
Вилли Вонка и шоколадная фабрика,семейный фильм фэнтези музыкальный фильм,Мел Стюарт,Великобритания   США [2] [3],1971,7.8
Видок,"детектив ,  мистика ,  триллер",Жан-Кристоф «Питоф» Комар,Франция,2001,6.4
Видок: Охотник на призраков,Исторический фильм     Криминал,Жан-Франсуа Рише,Франция,2018,6.3
Виз,мюзикл     приключенческий фильм     семейный фильм   фэнтези,Сидни Люмет,США,1978,5.5
"Владивосток, год 1918","военный , исторический",Эдуард Гаврилов,СССР,1982,5.5
Власть Соловецкая. Свидетельства и документы,документальный,Марина Голдовская,СССР,1988,7.8
Вместе,комедия,Лукас Мудиссон,Швеция   Дания   Италия,2000,7.4
Виктор Франкенштейн,ужасы   драма   готика,Пол Макгиган,США,2015,5.9
Влюблённые и медведь,драматический фильм,Ким Нгуйен [d] [1],Канада [1],2016,6.0
Влюблённые в Киев,киноальманах комедия драма мелодрама,Илья Власов Валерий Бебко Денис Гамзинов Тарас Ткаченко Ольга Гибелинда Олег Борщевский,Украина,2010,6.3
Влюблённые дети,драма,Крис Фоггин,Великобритания,2016,5.2
Влюблённые женщины,драма,Кен Рассел,Великобритания,1969,7.1
